AGE,SEX,SAT,HS_GPA,BAT,CRT,Grade
18.3,M,650,3.34,22,NA,3.7
19.2,M,630,3.36,17,NA,2.3
17.8,M,530,3.5,14,NA,3
18.1,F,540,4,22,13,4
18.4,M,620,3.19,19,NA,2.7
18,F,570,3.83,17,9,3.7
18.7,M,570,3.45,17,NA,3
18.4,M,550,3.13,19,NA,2
18.6,F,510,3.48,20,NA,2
18.3,M,370,3.79,6,NA,0
18.1,M,610,3.31,22,NA,2
18.1,M,510,3.17,21,NA,2
18.1,M,610,3.43,23,NA,2.3
18.1,M,570,3.23,20,NA,3
18.4,M,620,3.8,20,NA,4
18.3,F,520,3.57,21,16,2.3
18.5,F,420,3.78,19,NA,1
19,M,600,3.56,NA,NA,4
18.6,M,470,3.73,22,NA,3
18.2,F,580,3.72,21,20,3.7
18,M,700,3.62,22,NA,3
19.9,M,540,3.51,24,2,2.7
18.9,M,620,3.71,17,NA,2
18.6,F,620,3.5,25,NA,3
18.3,F,570,3.86,15,NA,2
18.4,M,610,3.77,21,NA,3.7
17.9,F,560,3.42,9,NA,2
18.1,F,530,3.55,22,NA,3
18.2,F,570,4.01,23,20,4
18.3,M,550,3.57,25,NA,2
17.9,F,650,4.2,22,NA,4
18.6,F,450,3.61,19,NA,2
17.8,F,650,4.34,22,NA,4
18.7,M,500,3.34,20,NA,2
17.9,M,510,2.9,16,NA,1
18.5,F,560,4.05,19,NA,4
18.1,M,490,3.2,14,NA,0
18.3,F,490,3.44,14,NA,0
18.3,M,490,3.5,20,NA,2
18.3,M,470,4,13,NA,2
18.7,M,570,3.11,14,NA,1
18.3,F,710,3.85,23,NA,0
18.9,M,600,3.05,17,10,0
18.7,F,520,3.6,19,NA,3.3
18.2,M,630,3.88,18,NA,4
18.4,M,540,3.65,20,NA,2.3
19.1,F,550,3.38,18,NA,3.3
19.9,M,650,3.07,21,16,0
18.3,M,650,3.2,8,NA,0
17.9,F,530,3.5,21,17,3.3
18.4,M,570,3.68,18,NA,2.7
18.8,M,560,3.56,18,NA,2
18.4,M,530,3.66,24,NA,2.3
18.8,F,500,3.44,11,NA,2.3
18.1,F,510,3.33,17,NA,3
19.4,M,550,3.96,17,14,3.7
18.5,F,560,3.6,17,NA,4
18.5,M,530,3.02,21,NA,2.7
18.3,M,560,3.41,19,15,2
18.1,F,500,3.76,21,NA,4
18.5,M,560,3.72,20,NA,1.3
18.5,M,570,2.93,19,NA,2
18.1,F,510,4.03,22,NA,4
18.6,M,510,3.84,21,NA,2.7
18.5,F,540,3.33,17,NA,2
18,F,610,4.08,20,22,4
19.1,M,570,3.53,16,NA,2.3
18.3,M,570,3.39,21,NA,4
18.3,M,600,3.95,20,NA,3.7
18.7,M,560,3.41,NA,NA,2.3
18.3,M,560,3.16,25,NA,0
17.9,F,540,3.54,18,NA,4
18.3,F,500,3.64,20,NA,3
18.6,F,480,3.98,14,NA,3
18.1,F,520,3.48,19,1,3
18.2,F,530,3.34,20,NA,2.3
18.1,F,540,3.43,15,NA,0
18.5,M,580,3.74,23,NA,3.7
18.6,F,570,4.09,20,NA,4
18.6,F,480,4,22,NA,3.3
18.8,M,640,3.27,23,NA,2
18.7,M,630,4,20,NA,4
17.9,M,520,3.08,13,NA,2
18.8,F,600,4.1,19,NA,3
18.6,M,510,3.62,21,NA,2
18.6,M,630,3.68,21,NA,3
18.8,F,450,3.69,19,NA,1
18.2,M,510,4.2,23,NA,2
18.4,M,650,3.34,19,NA,3
17.9,F,480,3.81,22,NA,3
17.9,F,590,3.9,24,NA,4
18.1,M,550,3.4,19,NA,2.3
18.9,F,600,3.71,24,25,4
18.9,M,580,3.85,21,NA,3
18.2,F,510,3.45,18,15,2.7
18.6,F,570,3.59,22,NA,3
18.4,M,540,3.3,21,NA,0
17.9,F,450,3.38,22,10,3.7
18.2,M,650,4.23,18,NA,3.7
18.5,F,490,4.11,23,NA,1
18.5,F,480,3.44,14,NA,2
17.9,F,480,3.27,7,NA,2
18.4,M,530,2.93,23,NA,2
18.8,F,520,3.96,18,11,4
18.6,F,560,3.88,19,NA,4
19.6,F,610,3.55,25,NA,3
18.9,F,560,3.61,19,19,2.3
18.8,M,670,3.53,24,21,4
18.3,M,500,3.82,18,NA,3.7
18.3,M,620,3.17,16,NA,0
17.8,F,520,3.41,23,NA,3.7
18.7,F,520,3.46,17,NA,2.7
18.9,F,500,3.96,18,NA,3.3
18.3,F,550,3.46,21,NA,3
18.3,M,640,3.98,NA,NA,4
18,M,710,3.37,18,NA,3
18.7,F,630,4.07,21,17,4
18.8,F,610,3.53,20,14,3
18.6,F,530,3.52,19,NA,3.3
18,F,600,3.84,21,NA,4
18.2,F,420,3.74,22,NA,3
18.4,F,580,3.25,19,NA,3.3
17.8,F,520,3.94,18,NA,3
18.4,F,540,3.42,NA,NA,1
18.4,M,580,3.41,25,NA,0
18.4,M,570,3.68,19,NA,3
18,F,520,3.55,17,NA,2.3
17.9,M,500,3.77,23,13,3
18.1,F,520,4.11,20,11,3.7
18.8,F,500,3.06,17,NA,1
18.3,F,510,3.63,19,14,4
18.4,F,580,3.6,22,NA,3
18.2,F,470,3.88,19,NA,2
17.9,M,510,3.15,13,NA,1
18.6,F,490,3.21,20,NA,2.7
18,F,620,3.86,23,NA,4
18.4,M,540,3.06,23,22,3
18.4,M,610,3.68,23,NA,3.7
18.5,M,580,3.29,18,NA,2
18,F,580,3.82,14,NA,4
18.4,F,580,4.03,20,NA,4
18.1,M,560,3.54,21,13,2.3
18.4,M,530,3.48,19,NA,2.3
19.1,M,580,3.8,19,NA,3.3
18.2,M,530,3.38,21,12,4
18,M,510,3.56,23,19,4
18,M,560,3.46,19,19,1
17.9,F,600,3.57,17,NA,3
18.7,F,430,3.42,18,NA,0
18.6,F,570,3.74,22,NA,2.3
18,F,460,3.45,10,NA,2
18.5,F,520,3.58,18,NA,3.3
17.7,M,560,4.08,24,NA,2.3
18,F,530,3.92,22,NA,4
18.1,M,570,3.57,19,NA,3
18.8,F,500,4.26,21,NA,4
18.4,M,550,3.04,15,NA,2
17.8,F,540,3.46,24,NA,2
18.7,F,400,3.93,19,NA,2
18.6,F,570,3.82,22,NA,3
18.7,M,520,4.05,17,NA,4
18.3,F,500,3.08,17,NA,3
18.1,F,470,3.41,20,17,2.3
18.4,F,560,3.38,21,NA,4
18.3,F,520,3.52,22,19,2
18.8,F,570,4.05,23,18,3.7
18.3,F,530,3.44,20,NA,3
18,F,440,3.58,21,NA,3
18.6,F,430,3.64,5,NA,0
18.6,F,590,4.09,24,19,3.7
18.2,F,450,3.58,21,NA,2
17.8,F,440,3.73,9,NA,0
19,F,540,3.88,17,NA,3
18.8,F,560,3.3,23,NA,4
18.4,F,580,4.2,25,23,4
18.3,F,560,3.83,21,16,4
17.9,M,750,3.29,18,NA,4
18.5,M,460,3.24,14,NA,0
18.8,M,570,3.35,24,NA,4
18.6,F,560,3.96,15,NA,2.3
17.9,F,590,3.33,24,NA,2
17.9,M,560,3.21,20,NA,2.7
18.4,F,560,3.58,22,NA,3
18,F,580,4,24,NA,4
18.6,M,570,3.16,20,NA,2
17.9,F,560,3.89,19,NA,3
18.4,F,610,4.13,22,NA,4
18.3,F,540,3.66,21,10,2.7
18.2,M,520,3.87,20,NA,3.7
19.2,F,500,3.19,18,NA,0
18.6,M,670,3.22,21,NA,2.3
18.4,M,560,3.46,20,NA,4
18.6,M,600,3.58,18,2,2
18.8,M,630,3.2,16,NA,2
18.2,M,490,3.42,16,NA,2
18.3,M,450,3.79,14,NA,2
18.1,M,570,3.47,20,NA,3
18.2,M,630,3.25,22,NA,2.7
18.6,M,510,3.8,20,NA,3.3
17.6,F,510,4.18,21,NA,2.3
18.8,F,590,3.57,20,NA,2.7
18.5,F,570,3.81,23,21,3.7
18.4,F,560,3.62,22,21,4
18.7,M,560,3.46,22,19,3
18.9,F,530,3.69,10,NA,2.3
18.6,F,570,3.6,21,NA,1.3
18.7,F,470,4,20,NA,2.7
18.4,M,510,3.2,17,NA,2
18.1,M,580,3.18,21,NA,2.7
18.5,M,520,3.52,17,NA,3.3
18.2,F,530,3.76,19,NA,3.7
17.9,F,550,3.67,18,11,2.7
17.8,F,570,3.84,22,NA,3.7
18.2,M,570,3.59,18,NA,2
18.3,F,530,3.58,19,NA,3
23.6,M,510,2.53,10,NA,2
18.5,M,630,4.07,21,17,1.3
18.6,F,510,3.48,18,18,3
18.3,F,630,3.85,NA,NA,4
18.7,F,460,3.48,18,NA,0
18,F,500,3.7,21,NA,2
18.6,F,530,3.3,25,NA,3
18.1,F,440,3.45,7,NA,2.7
18.9,F,490,3.25,17,7,3.3
18.2,F,500,3.73,19,NA,4
18.8,F,620,3.69,NA,NA,2.7
18.7,F,550,3.75,23,NA,3
18,M,490,3.41,9,NA,0
18.7,M,480,3.18,13,NA,1.3
18.7,F,470,3.27,21,NA,2.7
17.8,F,620,4.5,21,20,4
19.1,M,600,3.38,21,NA,3.3
18.6,F,530,3.55,22,NA,3
17.9,F,520,3.79,17,NA,4
18.6,F,510,4.02,16,NA,3
18.5,M,570,3.84,23,NA,4
18.2,F,490,3.22,23,NA,2.3
18.2,F,490,3.35,22,NA,2
18.2,F,520,3.22,18,NA,2
18.5,M,590,3.16,19,NA,2.3
18.8,F,500,3.68,11,NA,3.3
18.7,M,550,3.45,22,NA,4
18.1,F,570,3.4,18,NA,2
18,F,590,3.94,21,NA,3
18.9,F,560,3.47,20,NA,4
18.1,F,620,4.16,22,23,4
18.5,F,470,3.59,23,NA,3
18.9,F,550,3.83,21,NA,4
18.7,F,500,4,14,NA,4
18.5,M,490,3.16,19,NA,3
18.7,M,540,3.98,21,NA,3.7
18.1,F,530,3.46,21,NA,3.3
18.5,F,470,4,19,14,4
18.5,M,620,4,18,11,3
17.8,F,620,4.34,23,NA,4
18.5,F,500,3.25,11,NA,3.3
18.2,M,530,3,17,NA,0
18.6,F,450,3.6,9,NA,2
18.3,M,570,3.15,20,NA,3.7
17.9,F,530,3.51,23,NA,2
18.4,M,530,3.26,22,NA,3.3
19,M,500,3.29,19,NA,1.3
18,F,580,3.92,18,16,3.7
18.6,M,610,3.66,17,NA,3.3
17.3,F,560,3.85,22,10,1
18,F,530,3.34,21,13,2.3
18.4,F,550,3.31,20,16,1
18.1,M,560,4.02,25,NA,4
18.9,F,460,3.35,19,NA,3.3
18.4,F,510,3.2,22,NA,2.3
18.3,M,560,3.36,19,NA,3.3
18.9,F,540,4.23,19,NA,4
17.8,F,480,3.47,22,NA,2.7
18.5,F,470,3.41,19,NA,1.3
17.9,F,560,3.93,17,NA,2
18.4,M,590,3.53,17,NA,2.3
18.4,F,750,4.07,20,NA,4
17.3,F,500,3.81,23,NA,3
18.2,M,610,3.7,21,NA,4
18.3,M,500,3.46,18,12,3
17.9,F,550,3.4,19,NA,3.3
17.9,F,480,3.56,23,NA,3
18,M,500,3.74,20,17,2.7
17.6,F,500,3.05,19,NA,0
18.5,F,540,3.88,24,NA,2
18.2,M,470,3,11,NA,2
18.3,F,500,3.2,19,NA,3
19.3,M,500,3.48,8,NA,0
18.7,F,500,3.42,21,NA,3
18.4,M,560,3.06,17,NA,2.7
18.2,F,460,3.72,20,NA,2.7
18.4,F,530,4,19,NA,3.3
18.6,F,520,3.6,20,NA,3.7
19.4,M,440,4.11,18,NA,2.7
18.5,F,530,3.48,17,NA,3.7
18.5,F,470,3.43,8,NA,1.3
18,F,540,4.05,18,15,4
18.7,M,520,3.38,14,NA,2
18.3,M,580,3.46,21,NA,3.3
18.2,F,480,3.85,20,NA,3
18.6,F,590,3.51,23,19,4
18.3,F,530,3.33,19,19,3
18.9,F,470,3.71,20,11,2
18.1,F,540,3.67,NA,NA,2.3
18.9,F,560,3.31,17,NA,2
19,M,580,4.14,18,17,2
18.6,F,500,3.95,18,NA,3
18.7,M,600,3.65,20,NA,4
18.3,M,560,4.17,25,13,4
18.1,F,530,3.39,23,NA,3.3
17.6,F,500,3.57,23,19,0
18.7,M,560,3.11,17,NA,0
18.6,M,450,4.19,23,20,4
18.1,F,560,3.06,14,NA,1.3
17.8,M,570,3.04,16,NA,2.7
18.3,F,520,3.27,25,NA,2.3
18.2,F,510,3.81,24,NA,3
17.9,M,570,3.58,22,NA,3.7
17.9,F,470,3.57,25,NA,3.3
18.9,F,510,3.76,20,NA,3
18.9,M,570,3.18,19,NA,2.7
18.2,F,700,3.87,24,NA,4
18.7,M,530,3.58,19,NA,2.7
18.1,M,610,3.75,18,NA,3.3
18.1,F,560,3.6,15,NA,2
19.7,M,520,3.83,21,19,3
18.6,M,520,3.55,22,NA,2
18.8,F,570,4.17,22,NA,4
18.1,M,470,3.37,23,NA,3
18.8,F,500,3.14,12,NA,3.3
19.3,M,570,3.55,18,NA,2
18.4,F,480,3.52,16,NA,2.3
17.8,F,510,3.22,22,NA,0
18.4,M,540,3.4,23,NA,2.3
18.4,M,500,2.98,20,21,1
18.2,F,500,4.3,23,17,4
18.2,M,610,3.06,13,NA,3
18.4,M,700,3.19,19,NA,3.3
18.2,F,490,3.72,18,NA,2
17.9,F,560,3.95,24,NA,3.3
18.2,F,540,3.67,21,NA,3.3
18.6,F,520,3.23,20,17,2.7
18.5,M,610,3.26,22,NA,4
18.4,M,470,3.08,20,12,1.3
18.5,M,480,3.05,21,NA,0
18.6,M,510,3.57,16,NA,2.7
18.4,F,460,3.54,19,NA,0
20.3,M,520,2.7,23,24,4
18,F,540,3.44,9,NA,2
17.8,M,600,3.66,24,NA,3.7
18.6,M,550,3.25,13,NA,2
18.6,M,550,3.39,24,NA,4
18.3,M,490,3.47,10,NA,2
18.8,F,550,3.25,24,21,2
18.5,M,500,3.6,17,15,2
18.9,M,580,4,22,20,3
18.1,M,480,3.33,13,NA,2
16.5,F,460,3.47,22,16,3.3
18.3,M,680,3.53,22,18,3
17.9,M,540,3.24,18,13,0
18.3,F,560,3.75,22,NA,3
19.7,F,460,3.88,16,NA,2.7
18.2,F,580,3.96,20,NA,4
18.2,M,480,3.2,17,NA,2
17.8,F,480,3.4,19,NA,2.3
18.4,M,460,3.37,12,NA,0
18.3,M,580,3.35,19,NA,0
17.9,F,470,3.63,16,NA,3.3
18.8,M,710,4.04,20,NA,4
18.4,M,570,2.99,17,NA,3
18.2,F,450,3.45,20,NA,2.7
18.6,M,600,3.18,19,NA,3.3
18,F,520,3.39,19,12,3.7
18.7,M,540,3.32,19,NA,2.7
18.2,M,540,3.86,NA,NA,1.3
18.1,F,600,4.11,20,16,3.3
18.6,M,490,3.29,22,NA,3.3
16.9,F,550,4.01,23,NA,4
18.1,F,420,3.43,18,NA,3
18.5,F,650,3.48,21,NA,3.7
18.1,F,540,3.47,18,NA,2.3
18.2,M,510,3.04,19,11,1
18.5,M,600,3.5,17,NA,4
18.4,M,650,3.04,20,NA,1
18.9,M,600,3.12,21,NA,2.7
18.6,M,560,4.03,8,NA,2.3
18,M,730,4.27,24,22,4
19.2,F,500,NA,22,17,2
17.9,F,490,3.38,18,14,3.3
18.7,F,510,4,18,NA,3
18.6,F,550,4.37,18,NA,3.7
17.8,M,500,3.28,9,NA,1
18.2,M,520,3.5,18,NA,2.3
18.2,F,400,3.68,9,NA,0
18.4,M,610,3.32,23,16,2
18,M,480,3.13,25,NA,1
19,M,530,4.05,23,NA,4
18.8,M,490,3.89,15,NA,2.3
19,F,510,3.59,21,13,3.3
18.6,M,530,3.37,22,NA,3.3
18.6,F,550,3.86,25,NA,3
18.3,M,510,4,21,NA,3.7
18.5,M,520,3.15,22,1,1.3
18.5,M,540,3.44,23,9,2
19,M,520,2.82,20,NA,2
18.5,M,550,3.23,16,NA,2.7
18.3,M,600,3.09,20,NA,4
19.1,M,590,4.5,22,NA,2.7
18.5,M,560,3.04,19,NA,0
18.6,F,530,3.65,21,NA,3.3
18.5,M,690,4.16,25,NA,3
18.5,M,490,3.1,16,NA,0
18.7,F,560,3.76,NA,NA,3.3
19,F,540,3.35,17,NA,2
18.4,M,540,3.32,17,NA,2
18.2,M,610,3.38,19,NA,3.7
18.4,M,560,3.71,10,NA,0
18.1,M,600,3.83,20,NA,2.3
19,M,540,3.4,15,NA,2.3
18.2,F,550,4.11,23,NA,4
18.7,F,570,3.7,17,NA,0
18,F,560,3.94,17,NA,4
18.4,F,510,3.85,19,19,3.7
18.6,F,640,3.9,16,NA,4
17.9,M,580,3.86,20,11,3
18.5,F,500,4.02,NA,NA,3.3
18.7,M,520,4.12,22,NA,3
18.2,M,560,3.7,19,NA,2.7
18.5,M,650,3.6,19,NA,4
18.3,M,640,3.05,18,15,1
18.4,F,620,3.78,21,NA,3.7
18.3,M,610,3.95,21,NA,3.7
18.4,F,650,3.77,21,NA,3.3
18.7,F,560,4.27,21,14,3.7
18.3,F,500,4.27,21,11,4
18.8,F,550,4.23,19,NA,4
18.5,M,530,3.5,9,NA,2.7
18.4,F,500,3.78,20,NA,2
18.5,F,520,3.83,20,NA,2
18.2,F,540,3.38,24,NA,3.3
18,M,550,3.19,17,NA,0
18.1,M,630,3.61,22,NA,3.7
17.9,M,610,3.47,17,NA,2.7
17.9,F,470,4.11,20,NA,3.3
18.3,M,490,3.45,22,NA,2
18.1,M,570,3.42,17,NA,3
18.6,M,560,3.5,18,14,3
18.6,F,470,3.75,23,NA,0
18.6,F,600,3.91,13,NA,4
18,F,560,3.64,12,NA,4
18.4,M,580,3.32,21,NA,1
18.7,M,530,3.32,19,14,2.3
18.7,M,480,3.33,20,12,0
18.3,F,570,3.34,21,16,3
18.1,M,520,3.96,23,NA,3
18.5,F,510,3.63,18,NA,0
18.1,F,580,3.7,19,NA,3.3
18.6,F,580,3.77,21,NA,3.3
18.6,M,590,4.2,20,9,2.3
18.5,M,610,3.57,20,15,2
17.9,F,520,3.7,18,15,3
18.9,M,500,3.74,21,14,2
18,F,610,3.6,23,NA,4
18.4,F,550,3.67,14,NA,3.7
18.9,M,570,3.68,19,NA,3
18.3,M,630,3.42,17,NA,3
18.3,F,530,3.99,24,NA,4
18.3,M,520,3.48,21,NA,2
18.2,M,480,3.5,18,NA,2.3
18.8,M,520,3.71,20,NA,2.3
18.6,M,550,3.38,20,NA,2.7
18.3,M,560,3.41,18,NA,2.7
18.3,F,630,3.89,21,NA,4
18.1,F,540,3.65,19,8,2.3
18.3,F,550,3.82,12,NA,2.7
18.6,F,550,3.95,18,NA,4
18.6,F,620,4.37,21,NA,4
18.7,F,560,3.93,20,NA,4
17.8,M,460,3.32,10,NA,2
19.6,F,480,4.02,18,NA,4
18.2,M,590,3.8,24,21,4
18.5,M,570,3.67,21,18,3.7
18.7,F,470,3.61,22,NA,2.7
18,F,540,3.18,22,NA,2.3
18,F,570,3.55,9,NA,2.7
18.3,M,590,3.5,20,NA,2.7
18.6,F,620,3.56,18,NA,3
18.4,F,470,4,23,NA,4
17.8,F,490,3.84,16,NA,3.3
18.7,F,490,3.54,21,14,3.7
17.8,F,560,4.12,24,NA,4
18.6,M,490,3.34,14,NA,3
18.7,F,560,3.94,19,18,3
18.1,M,600,3.1,18,NA,3.7
19,M,550,3.46,17,NA,2.7
19,M,550,3.96,18,NA,2.7
19.1,M,630,3.73,19,NA,3
17.9,M,530,3.28,17,14,2.7
18.7,F,530,3.36,13,NA,3
18.4,M,490,3.61,20,NA,3.7
18.9,F,560,3,17,NA,2
18.7,F,550,4,21,NA,1
18.8,M,600,3.46,24,15,3.3
17.9,F,640,3.47,24,NA,4
18.3,F,490,3.93,22,NA,3.7
18.1,M,690,3.26,20,NA,4
19,F,500,4.06,22,NA,1.3
18.1,M,580,3.31,16,NA,0
17.8,M,520,3.36,15,NA,3.7
18,M,600,3.35,24,NA,0
18.1,M,450,3.38,18,NA,2.3
18,M,600,3.54,16,NA,3.3
18,M,550,3.5,22,NA,4
18.1,M,630,4.18,22,15,3.7
18.6,F,620,3.65,18,NA,3
17.8,M,560,3.44,21,NA,2.7
18.7,F,510,3.75,16,NA,2
19,F,600,4.11,19,NA,3.3
18.4,F,470,4.02,16,NA,1.3
18.5,M,450,3.22,14,NA,1
18.4,M,590,3.66,20,NA,3.7
18.3,F,560,4.5,20,10,4
18.5,M,610,4.22,17,NA,4
18.2,M,620,3.98,18,NA,4
17.8,F,580,3.6,23,NA,3.7
17.8,M,480,3.2,21,8,0
18.7,F,550,3,20,NA,0
18.5,F,530,3.9,22,NA,2.3
19,M,630,4.28,19,NA,3.3
19.3,M,610,3.61,19,16,1
17.9,M,640,3.78,18,NA,0
18.5,M,610,4.24,20,NA,4
18.2,F,570,3.67,22,11,3.7
18.3,M,500,3.31,17,NA,2
19,M,560,3.38,25,12,2
18.4,F,560,3.64,20,11,3
18,M,480,3.39,22,12,0
18.3,M,600,3.13,24,15,0
18.8,M,680,3.61,23,NA,3
19.3,M,530,3.14,16,NA,2
17.8,M,630,3.48,21,NA,2
18.1,F,530,3.62,17,NA,2.3
18.2,M,490,3.45,9,NA,0
18.8,F,500,3.49,21,NA,2.3
18.4,F,710,4.13,24,21,3.7
17.8,M,600,3.66,16,NA,3.7
18.8,M,520,3.89,22,18,3.7
18.3,M,640,3.68,19,NA,4
18.3,F,510,3.66,19,NA,2
18.1,F,470,3.02,22,22,2.3
18.9,F,610,3.52,20,NA,3
18,F,550,3.62,20,NA,3
18,M,470,3.31,15,NA,3.3
17.4,F,560,4.12,22,22,4
19,M,450,2.9,19,NA,0
18.4,M,630,3.88,20,16,3
18,F,560,3.58,24,NA,3.7
18.4,F,560,3.47,19,14,3.3
18.7,F,490,4.12,22,NA,3.3
18.5,F,580,4.21,22,19,4
18.5,M,480,3.83,18,7,2
18.6,F,540,4.15,17,NA,3.7
19.2,M,360,3.3,10,NA,1
18.7,M,470,3.57,16,NA,0
18.4,M,620,3.6,24,NA,3.3
19.1,F,500,3.51,23,NA,0
18.2,F,550,3.32,19,19,3
18.9,M,550,4.12,19,NA,4
18.6,M,570,3.1,19,18,4
18.8,F,570,3.62,20,NA,4
18.1,F,550,3.25,22,NA,4
18.8,M,500,3.31,17,NA,1
18,M,510,3.58,19,15,2
19.3,M,450,4.3,12,NA,1.3
18.2,M,540,3.4,18,10,2.7
18.8,M,630,3.38,15,NA,1.3
19.2,M,540,3.87,17,NA,2.3
18.3,F,540,3.76,18,7,2.3
18.4,M,610,3.61,20,18,4
18.7,F,560,3.59,21,NA,2.3
19.2,F,530,3.22,21,NA,3.7
18.3,F,480,3.99,17,NA,2.7
18.3,F,520,4.35,18,NA,4
20,M,520,3.33,19,NA,3.3
18.7,F,540,3.6,NA,13,2.7
18,F,580,3.53,23,NA,3.3
18.2,M,590,3.15,23,NA,2
18,F,610,4.25,25,NA,3
18,F,500,3.86,23,NA,4
18.7,F,500,4.09,14,NA,3.3
18.7,M,610,3.67,19,NA,3
18.5,F,530,3.43,10,NA,2
18.5,M,510,3.52,11,NA,1.3
17.9,M,640,3.5,21,17,3.3
18.5,F,520,4.19,21,NA,4
19.3,F,590,3.96,20,8,4
18.4,M,560,3.7,18,NA,2
18.5,F,440,4.05,18,19,3
18.7,F,550,3.53,18,NA,2.7
18.5,M,630,3.04,22,NA,4
19,M,450,3.72,14,NA,0
18.4,F,540,4.4,23,22,4
18.7,F,530,3.16,21,NA,3
18.7,M,530,3.25,20,NA,0
18.4,F,590,3.79,21,NA,4
18.8,M,560,3.65,25,23,3.3
17.9,M,540,3.34,17,NA,4
18.5,F,400,3.7,21,NA,2
18.4,F,510,3.38,19,9,0
18.3,F,670,4.12,21,20,3.3
18.8,F,620,4.04,22,19,3.7
18.9,F,520,3.66,21,NA,0
18.6,F,560,3.76,24,14,3.7
18.8,F,550,3.84,20,NA,2.7
18.6,M,540,3.35,10,NA,2.3
18.2,F,570,3.88,23,15,3
18,F,520,3.57,22,NA,0
18.9,M,550,3.57,21,NA,4
18.4,M,560,3.1,20,NA,0
18.2,F,550,4.21,18,NA,3.7
18.6,M,610,3.7,24,NA,2
18.6,M,540,3.24,17,16,1.3
18.7,M,580,3.27,21,NA,3.3
18.1,F,510,3.43,12,NA,1
18.4,F,480,3.71,24,23,1
18.1,F,440,3.66,11,NA,3.3
18,F,440,3.73,17,NA,2.3
18.7,F,440,3.78,6,NA,2
18,M,570,3.25,21,10,2
17.9,M,600,3.54,19,NA,2.7
18.5,M,630,3.8,22,NA,4
18.1,F,570,3.33,19,NA,3.3
18.4,F,610,3.94,19,9,3.3
18.4,F,540,3.37,22,NA,3.7
18.4,F,590,3.17,21,NA,3
18.1,F,510,3.65,16,NA,3
18.6,M,550,2.95,19,12,0
18.6,F,490,3.47,21,NA,2.3
18.5,F,450,3.7,12,NA,2.7
18.1,F,580,3.7,20,NA,3.3
18.7,M,590,3.34,17,16,2.3
18.8,F,600,2.97,19,8,2
18.8,F,490,3.26,17,NA,1
18.5,M,560,3.27,22,NA,2.3
19,M,470,3.67,20,NA,2.3
18.1,F,520,3.25,17,NA,2.3
18.6,M,590,3.72,15,NA,2
17.9,M,610,3.58,18,18,3.3
18.2,F,660,3.58,20,NA,4
18.7,F,470,2.96,9,NA,1
18.6,F,590,3.28,20,NA,1.3
18,M,550,3.19,20,NA,3.7
17.8,F,460,3.63,11,NA,0
18.5,M,510,2.9,18,NA,4
18.4,F,520,3.32,21,13,3
18.5,M,510,2.96,13,NA,2
18.6,M,530,3.34,NA,NA,3.7
18.6,M,580,3.15,19,NA,4
18.5,M,510,2.95,17,NA,2
18.1,F,530,3.1,18,NA,1
17.9,M,590,3.6,17,NA,2
18.9,M,510,3.46,15,NA,2.7
18.1,F,520,4.08,20,NA,4
18.9,F,560,3.22,10,NA,3
18.1,M,540,2.96,17,NA,2
18.3,F,520,3.24,20,NA,2
19,F,520,3.36,9,NA,2.3
18.1,M,640,3.97,24,16,3.7
18,F,590,3.81,24,NA,4
18.8,M,550,3.31,20,20,0
18.1,F,500,3.51,18,NA,1
18.3,M,570,3.42,17,15,3
18.4,M,550,3.03,19,NA,0
18.1,F,620,4.23,17,16,4
18.7,M,540,3.19,22,NA,3.3
18.9,M,580,3.47,17,NA,3.7
18.5,M,540,3.88,22,16,2.3
18.1,F,540,3.64,21,8,4
17.9,F,500,3.2,10,NA,0
18.3,F,540,3.38,22,14,4
18,F,450,3.38,18,NA,3.7
17.9,M,560,3.26,23,13,3
18.8,M,470,3,18,14,2
18.5,M,620,3.38,23,21,4
18.5,M,520,3.52,17,9,3.3
18.2,M,510,3.36,17,NA,1
18.6,M,490,3.59,15,NA,3.7
18.7,M,510,3.87,19,NA,2
18.2,F,540,3.48,17,NA,0
18,M,630,3.74,21,18,4
18.2,F,530,3.64,17,17,2.3
18.1,M,550,3.45,17,NA,3.7
18.5,M,690,3.15,22,NA,0
18.8,M,550,3.13,16,NA,4
17.9,M,480,3.39,NA,NA,2.7
18,F,560,3.55,22,NA,3.7
17.8,M,530,3.77,20,19,2
18.2,F,530,3.44,23,NA,0
18.7,F,510,3.3,10,NA,0
19.1,M,600,3.27,22,NA,1
18.3,M,640,3.62,19,NA,3
18.5,M,570,3.59,16,NA,0
